,ano,mes,estado,numero,encontro
1319,2001,Julho,Ceara,146,1/1/2001
1320,2002,Julho,Ceara,12,1/1/2002
1321,2003,Julho,Ceara,14,1/1/2003
1322,2004,Julho,Ceara,16,1/1/2004
1323,2005,Julho,Ceara,14,1/1/2005
1324,2006,Julho,Ceara,1,1/1/2006
1325,2007,Julho,Ceara,11,1/1/2007
1326,2008,Julho,Ceara,3,1/1/2008
1327,2009,Julho,Ceara,7,1/1/2009
1328,2010,Julho,Ceara,44,1/1/2010
1329,2011,Julho,Ceara,18,1/1/2011
1330,2012,Julho,Ceara,50,1/1/2012
1331,2013,Julho,Ceara,4,1/1/2013
1332,2014,Julho,Ceara,47,1/1/2014
1333,2015,Julho,Ceara,25,1/1/2015
1334,2016,Julho,Ceara,124,1/1/2016
1335,2017,Julho,Ceara,26,1/1/2017
1336,1998,Agosto,Ceara,93,1/1/1998
1337,1999,Agosto,Ceara,131,1/1/1999
1338,2000,Agosto,Ceara,79,1/1/2000
1339,2001,Agosto,Ceara,219,1/1/2001
1340,2002,Agosto,Ceara,111,1/1/2002
1341,2003,Agosto,Ceara,109,1/1/2003
1342,2004,Agosto,Ceara,61,1/1/2004
1343,2005,Agosto,Ceara,51,1/1/2005
1344,2006,Agosto,Ceara,50,1/1/2006
1345,2007,Agosto,Ceara,182,1/1/2007
1346,2008,Agosto,Ceara,32,1/1/2008
1347,2009,Agosto,Ceara,26,1/1/2009
1348,2010,Agosto,Ceara,202,1/1/2010
1349,2011,Agosto,Ceara,53,1/1/2011
1350,2012,Agosto,Ceara,278,1/1/2012
1351,2013,Agosto,Ceara,32,1/1/2013
1352,2014,Agosto,Ceara,155,1/1/2014
1353,2015,Agosto,Ceara,127,1/1/2015
1354,2016,Agosto,Ceara,293,1/1/2016
1355,2017,Agosto,Ceara,121,1/1/2017
1356,1998,Setembro,Ceara,590,1/1/1998
1357,1999,Setembro,Ceara,124,1/1/1999
1358,2000,Setembro,Ceara,127,1/1/2000
1359,2001,Setembro,Ceara,801,1/1/2001
1360,2002,Setembro,Ceara,172,1/1/2002
1361,2003,Setembro,Ceara,384,1/1/2003
1362,2004,Setembro,Ceara,144,1/1/2004
1363,2005,Setembro,Ceara,185,1/1/2005
1364,2006,Setembro,Ceara,237,1/1/2006
1365,2007,Setembro,Ceara,241,1/1/2007
1366,2008,Setembro,Ceara,177,1/1/2008
1367,2009,Setembro,Ceara,101,1/1/2009
1368,2010,Setembro,Ceara,357,1/1/2010
1369,2011,Setembro,Ceara,239,1/1/2011
1370,2012,Setembro,Ceara,609,1/1/2012
1371,2013,Setembro,Ceara,177,1/1/2013
1372,2014,Setembro,Ceara,155,1/1/2014
1373,2015,Setembro,Ceara,214,1/1/2015
1374,2016,Setembro,Ceara,370,1/1/2016
1375,2017,Setembro,Ceara,505,1/1/2017
1376,1998,Outubro,Ceara,1.014,1/1/1998
1377,1999,Outubro,Ceara,309,1/1/1999
1378,2000,Outubro,Ceara,875,1/1/2000
1379,2001,Outubro,Ceara,2.045,1/1/2001
1380,2002,Outubro,Ceara,1.606,1/1/2002
1381,2003,Outubro,Ceara,1.761,1/1/2003
1382,2004,Outubro,Ceara,1.217,1/1/2004
1383,2005,Outubro,Ceara,1.378,1/1/2005
1384,2006,Outubro,Ceara,581,1/1/2006
1385,2007,Outubro,Ceara,964,1/1/2007
1386,2008,Outubro,Ceara,816,1/1/2008
1387,2009,Outubro,Ceara,435,1/1/2009
1388,2010,Outubro,Ceara,502,1/1/2010
1389,2011,Outubro,Ceara,415,1/1/2011
1390,2012,Outubro,Ceara,1.104,1/1/2012
1391,2013,Outubro,Ceara,466,1/1/2013
1392,2014,Outubro,Ceara,517,1/1/2014
1393,2015,Outubro,Ceara,658,1/1/2015
1394,2016,Outubro,Ceara,1.31,1/1/2016
1395,2017,Outubro,Ceara,949,1/1/2017
1396,1998,Novembro,Ceara,575,1/1/1998
1397,1999,Novembro,Ceara,524,1/1/1999
1398,2000,Novembro,Ceara,669,1/1/2000
1399,2001,Novembro,Ceara,2.456,1/1/2001
1400,2002,Novembro,Ceara,2.715,1/1/2002
1401,2003,Novembro,Ceara,3.327,1/1/2003
1402,2004,Novembro,Ceara,2.9,1/1/2004
1403,2005,Novembro,Ceara,2.483,1/1/2005
1404,2006,Novembro,Ceara,1.012,1/1/2006
1405,2007,Novembro,Ceara,1.443,1/1/2007
1406,2008,Novembro,Ceara,1.753,1/1/2008
1407,2009,Novembro,Ceara,1.653,1/1/2009
1408,2010,Novembro,Ceara,1.652,1/1/2010
1409,2011,Novembro,Ceara,1.561,1/1/2011
1410,2012,Novembro,Ceara,995,1/1/2012
1411,2013,Novembro,Ceara,1.081,1/1/2013
1412,2014,Novembro,Ceara,829,1/1/2014
1413,2015,Novembro,Ceara,1.081,1/1/2015
1414,2016,Novembro,Ceara,1.328,1/1/2016
1415,2017,Novembro,Ceara,812,1/1/2017
1416,1998,Dezembro,Ceara,276,1/1/1998
1417,1999,Dezembro,Ceara,397,1/1/1999
1418,2000,Dezembro,Ceara,389,1/1/2000
1419,2001,Dezembro,Ceara,545,1/1/2001
1420,2002,Dezembro,Ceara,1.787,1/1/2002
1421,2003,Dezembro,Ceara,2.436,1/1/2003
1422,2004,Dezembro,Ceara,3.158,1/1/2004
1423,2005,Dezembro,Ceara,1.36,1/1/2005
1424,2006,Dezembro,Ceara,1.161,1/1/2006
1425,2007,Dezembro,Ceara,1.177,1/1/2007
1426,2008,Dezembro,Ceara,1.655,1/1/2008
1427,2009,Dezembro,Ceara,1.987,1/1/2009
1428,2010,Dezembro,Ceara,578,1/1/2010
1429,2011,Dezembro,Ceara,1.441,1/1/2011
1430,2012,Dezembro,Ceara,631,1/1/2012
1431,2013,Dezembro,Ceara,956,1/1/2013
1432,2014,Dezembro,Ceara,643,1/1/2014
1433,2015,Dezembro,Ceara,,1/1/2015
1434,2016,Dezembro,Ceara,819,1/1/2016
1435,1998,Janeiro,Distrito Federal,0 Fires,1/1/1998
1436,1999,Janeiro,Distrito Federal,0 Fires,1/1/1999
1437,2000,Janeiro,Distrito Federal,0 Fires,1/1/2000
1438,2001,Janeiro,Distrito Federal,0 Fires,1/1/2001
1439,2002,Janeiro,Distrito Federal,0 Fires,1/1/2002
1440,2003,Janeiro,Distrito Federal,0 Fires,1/1/2003
1441,2004,Janeiro,Distrito Federal,0 Fires,1/1/2004
1442,2005,Janeiro,Distrito Federal,0 Fires,1/1/2005
1443,2006,Janeiro,Distrito Federal,0 Fires,1/1/2006
1444,2007,Janeiro,Distrito Federal,0 Fires,1/1/2007
1445,2008,Janeiro,Distrito Federal,0 Fires,1/1/2008
1446,2009,Janeiro,Distrito Federal,1 Fires,1/1/2009
1447,2010,Janeiro,Distrito Federal,2 Fires,1/1/2010
1448,2011,Janeiro,Distrito Federal,2 Fires,1/1/2011
1449,2012,Janeiro,Distrito Federal,0 Fires,1/1/2012
1450,2013,Janeiro,Distrito Federal,0 Fires,1/1/2013
1451,2014,Janeiro,Distrito Federal,0 Fires,1/1/2014
1452,2015,Janeiro,Distrito Federal,1 Fires,1/1/2015
1453,2016,Janeiro,Distrito Federal,1 Fires,1/1/2016
1454,2017,Janeiro,Distrito Federal,1 Fires,1/1/2017
1455,1998,Fevereiro,Distrito Federal,0 Fires,1/1/1998
1456,1999,Fevereiro,Distrito Federal,2 Fires,1/1/1999
1457,2000,Fevereiro,Distrito Federal,0 Fires,1/1/2000
1458,2001,Fevereiro,Distrito Federal,1 Fires,1/1/2001
1459,2002,Fevereiro,Distrito Federal,0 Fires,1/1/2002
1460,2003,Fevereiro,Distrito Federal,1 Fires,1/1/2003
1461,2004,Fevereiro,Distrito Federal,0 Fires,1/1/2004
1462,2005,Fevereiro,Distrito Federal,0 Fires,1/1/2005
1463,2006,Fevereiro,Distrito Federal,0 Fires,1/1/2006
1464,2007,Fevereiro,Distrito Federal,0 Fires,1/1/2007
1465,2008,Fevereiro,Distrito Federal,0 Fires,1/1/2008
1466,2009,Fevereiro,Distrito Federal,0 Fires,1/1/2009
1467,2010,Fevereiro,Distrito Federal,4 Fires,1/1/2010
1468,2011,Fevereiro,Distrito Federal,1 Fires,1/1/2011
1469,2012,Fevereiro,Distrito Federal,0 Fires,1/1/2012
1470,2013,Fevereiro,Distrito Federal,1 Fires,1/1/2013
1471,2014,Fevereiro,Distrito Federal,1 Fires,1/1/2014
1472,2015,Fevereiro,Distrito Federal,0 Fires,1/1/2015
1473,2016,Fevereiro,Distrito Federal,2 Fires,1/1/2016
1474,2017,Fevereiro,Distrito Federal,0 Fires,1/1/2017
1475,1998,Março,Distrito Federal,0 Fires,1/1/1998
1476,1999,Março,Distrito Federal,0 Fires,1/1/1999
1477,2000,Março,Distrito Federal,0 Fires,1/1/2000
1478,2001,Março,Distrito Federal,0 Fires,1/1/2001
1479,2002,Março,Distrito Federal,0 Fires,1/1/2002
1480,2003,Março,Distrito Federal,0 Fires,1/1/2003
1481,2004,Março,Distrito Federal,0 Fires,1/1/2004
1482,2005,Março,Distrito Federal,0 Fires,1/1/2005
1483,2006,Março,Distrito Federal,0 Fires,1/1/2006
1484,2007,Março,Distrito Federal,1 Fires,1/1/2007
1485,2008,Março,Distrito Federal,2 Fires,1/1/2008
1486,2009,Março,Distrito Federal,0 Fires,1/1/2009
1487,2010,Março,Distrito Federal,0 Fires,1/1/2010
1488,2011,Março,Distrito Federal,0 Fires,1/1/2011
1489,2012,Março,Distrito Federal,0 Fires,1/1/2012
1490,2013,Março,Distrito Federal,1 Fires,1/1/2013
1491,2014,Março,Distrito Federal,1 Fires,1/1/2014
1492,2015,Março,Distrito Federal,0 Fires,1/1/2015
1493,2016,Março,Distrito Federal,1 Fires,1/1/2016
1494,2017,Março,Distrito Federal,0 Fires,1/1/2017
1495,1998,Abril,Distrito Federal,0 Fires,1/1/1998
1496,1999,Abril,Distrito Federal,0 Fires,1/1/1999
1497,2000,Abril,Distrito Federal,0 Fires,1/1/2000
1498,2001,Abril,Distrito Federal,0 Fires,1/1/2001
1499,2002,Abril,Distrito Federal,1 Fires,1/1/2002
1500,2003,Abril,Distrito Federal,0 Fires,1/1/2003
1501,2004,Abril,Distrito Federal,1 Fires,1/1/2004
1502,2005,Abril,Distrito Federal,0 Fires,1/1/2005
1503,2006,Abril,Distrito Federal,0 Fires,1/1/2006
1504,2007,Abril,Distrito Federal,0 Fires,1/1/2007
1505,2008,Abril,Distrito Federal,1 Fires,1/1/2008
1506,2009,Abril,Distrito Federal,0 Fires,1/1/2009
1507,2010,Abril,Distrito Federal,8 Fires,1/1/2010
1508,2011,Abril,Distrito Federal,1 Fires,1/1/2011
1509,2012,Abril,Distrito Federal,4 Fires,1/1/2012
1510,2013,Abril,Distrito Federal,1 Fires,1/1/2013
1511,2014,Abril,Distrito Federal,2 Fires,1/1/2014
1512,2015,Abril,Distrito Federal,0 Fires,1/1/2015
1513,2016,Abril,Distrito Federal,5 Fires,1/1/2016
1514,2017,Abril,Distrito Federal,1 Fires,1/1/2017
1515,1998,Maio,Distrito Federal,0 Fires,1/1/1998
1516,1999,Maio,Distrito Federal,0 Fires,1/1/1999
1517,2000,Maio,Distrito Federal,2 Fires,1/1/2000
1518,2001,Maio,Distrito Federal,0 Fires,1/1/2001
1519,2002,Maio,Distrito Federal,1 Fires,1/1/2002
1520,2003,Maio,Distrito Federal,0 Fires,1/1/2003
1521,2004,Maio,Distrito Federal,9 Fires,1/1/2004
1522,2005,Maio,Distrito Federal,2 Fires,1/1/2005
1523,2006,Maio,Distrito Federal,3 Fires,1/1/2006
1524,2007,Maio,Distrito Federal,4 Fires,1/1/2007
1525,2008,Maio,Distrito Federal,6 Fires,1/1/2008
1526,2009,Maio,Distrito Federal,9 Fires,1/1/2009
1527,2010,Maio,Distrito Federal,23 Fires,1/1/2010
1528,2011,Maio,Distrito Federal,3 Fires,1/1/2011
1529,2012,Maio,Distrito Federal,0 Fires,1/1/2012
1530,2013,Maio,Distrito Federal,2 Fires,1/1/2013
1531,2014,Maio,Distrito Federal,9 Fires,1/1/2014
1532,2015,Maio,Distrito Federal,2 Fires,1/1/2015
1533,2016,Maio,Distrito Federal,15 Fires,1/1/2016
1534,2017,Maio,Distrito Federal,6 Fires,1/1/2017
1535,1998,Junho,Distrito Federal,2 Fires,1/1/1998
1536,1999,Junho,Distrito Federal,,1/1/1999
1537,2000,Junho,Distrito Federal,1 Fires,1/1/2000
1538,2001,Junho,Distrito Federal,3 Fires,1/1/2001
1539,2002,Junho,Distrito Federal,7 Fires,1/1/2002
1540,2003,Junho,Distrito Federal,,1/1/2003
1541,2004,Junho,Distrito Federal,6 Fires,1/1/2004
1542,2005,Junho,Distrito Federal,3 Fires,1/1/2005
1543,2006,Junho,Distrito Federal,2 Fires,1/1/2006
1544,2007,Junho,Distrito Federal,21 Fires,1/1/2007
1545,2008,Junho,Distrito Federal,0 Fires,1/1/2008
1546,2009,Junho,Distrito Federal,4 Fires,1/1/2009
1547,2010,Junho,Distrito Federal,21 Fires,1/1/2010
1548,2011,Junho,Distrito Federal,18 Fires,1/1/2011
1549,2012,Junho,Distrito Federal,6 Fires,1/1/2012
1550,2013,Junho,Distrito Federal,4 Fires,1/1/2013
1551,2014,Junho,Distrito Federal,6 Fires,1/1/2014
1552,2015,Junho,Distrito Federal,1 Fires,1/1/2015
1553,2016,Junho,Distrito Federal,42 Fires,1/1/2016
1554,2017,Junho,Distrito Federal,23 Fires,1/1/2017
1555,1998,Julho,Distrito Federal,17 Fires,1/1/1998
1556,1999,Julho,Distrito Federal,4 Fires,1/1/1999
1557,2000,Julho,Distrito Federal,15 Fires,1/1/2000
1558,2001,Julho,Distrito Federal,22 Fires,1/1/2001
1559,2002,Julho,Distrito Federal,33 Fires,1/1/2002
1560,2003,Julho,Distrito Federal,19 Fires,1/1/2003
1561,2004,Julho,Distrito Federal,37 Fires,1/1/2004
1562,2005,Julho,Distrito Federal,24 Fires,1/1/2005
1563,2006,Julho,Distrito Federal,,1/1/2006
1564,2007,Julho,Distrito Federal,25 Fires,1/1/2007
1565,2008,Julho,Distrito Federal,12 Fires,1/1/2008
1566,2009,Julho,Distrito Federal,33 Fires,1/1/2009
1567,2010,Julho,Distrito Federal,85 Fires,1/1/2010
1568,2011,Julho,Distrito Federal,53 Fires,1/1/2011
1569,2012,Julho,Distrito Federal,29 Fires,1/1/2012
1570,2013,Julho,Distrito Federal,22 Fires,1/1/2013
1571,2014,Julho,Distrito Federal,27 Fires,1/1/2014
1572,2015,Julho,Distrito Federal,15 Fires,1/1/2015
1573,2016,Julho,Distrito Federal,79 Fires,1/1/2016
1574,2017,Julho,Distrito Federal,44 Fires,1/1/2017
1575,1998,Agosto,Distrito Federal,48 Fires,1/1/1998
1576,1999,Agosto,Distrito Federal,16 Fires,1/1/1999
1577,2000,Agosto,Distrito Federal,9 Fires,1/1/2000
1578,2001,Agosto,Distrito Federal,25 Fires,1/1/2001
1579,2002,Agosto,Distrito Federal,53 Fires,1/1/2002
1580,2003,Agosto,Distrito Federal,,1/1/2003
1581,2004,Agosto,Distrito Federal,108 Fires,1/1/2004
1582,2005,Agosto,Distrito Federal,20 Fires,1/1/2005
1583,2006,Agosto,Distrito Federal,40 Fires,1/1/2006
1584,2007,Agosto,Distrito Federal,137 Fires,1/1/2007
1585,2008,Agosto,Distrito Federal,30 Fires,1/1/2008
1586,2009,Agosto,Distrito Federal,37 Fires,1/1/2009
1587,2010,Agosto,Distrito Federal,159 Fires,1/1/2010
1588,2011,Agosto,Distrito Federal,61 Fires,1/1/2011
1589,2012,Agosto,Distrito Federal,55 Fires,1/1/2012
1590,2013,Agosto,Distrito Federal,34 Fires,1/1/2013
1591,2014,Agosto,Distrito Federal,99 Fires,1/1/2014
1592,2015,Agosto,Distrito Federal,53 Fires,1/1/2015
1593,2016,Agosto,Distrito Federal,29 Fires,1/1/2016
1594,2017,Agosto,Distrito Federal,147 Fires,1/1/2017
1595,1998,Setembro,Distrito Federal,33 Fires,1/1/1998
1596,1999,Setembro,Distrito Federal,12 Fires,1/1/1999
1597,2000,Setembro,Distrito Federal,3 Fires,1/1/2000
1598,2001,Setembro,Distrito Federal,12 Fires,1/1/2001
1599,2002,Setembro,Distrito Federal,33 Fires,1/1/2002
1600,2003,Setembro,Distrito Federal,17 Fires,1/1/2003
1601,2004,Setembro,Distrito Federal,100 Fires,1/1/2004
1602,2005,Setembro,Distrito Federal,23 Fires,1/1/2005
1603,2006,Setembro,Distrito Federal,20 Fires,1/1/2006
1604,2007,Setembro,Distrito Federal,73 Fires,1/1/2007
1605,2008,Setembro,Distrito Federal,54 Fires,1/1/2008
1606,2009,Setembro,Distrito Federal,5 Fires,1/1/2009
1607,2010,Setembro,Distrito Federal,196 Fires,1/1/2010
1608,2011,Setembro,Distrito Federal,133 Fires,1/1/2011
1609,2012,Setembro,Distrito Federal,64 Fires,1/1/2012
1610,2013,Setembro,Distrito Federal,31 Fires,1/1/2013
1611,2014,Setembro,Distrito Federal,72 Fires,1/1/2014
1612,2015,Setembro,Distrito Federal,76 Fires,1/1/2015
1613,2016,Setembro,Distrito Federal,58 Fires,1/1/2016
1614,2017,Setembro,Distrito Federal,122 Fires,1/1/2017
1615,1998,Outubro,Distrito Federal,3 Fires,1/1/1998
1616,1999,Outubro,Distrito Federal,8 Fires,1/1/1999
1617,2000,Outubro,Distrito Federal,18 Fires,1/1/2000
1618,2001,Outubro,Distrito Federal,0 Fires,1/1/2001
1619,2002,Outubro,Distrito Federal,19 Fires,1/1/2002
1620,2003,Outubro,Distrito Federal,12 Fires,1/1/2003
1621,2004,Outubro,Distrito Federal,18 Fires,1/1/2004
1622,2005,Outubro,Distrito Federal,18 Fires,1/1/2005
1623,2006,Outubro,Distrito Federal,1 Fires,1/1/2006
1624,2007,Outubro,Distrito Federal,13 Fires,1/1/2007
1625,2008,Outubro,Distrito Federal,6 Fires,1/1/2008
1626,2009,Outubro,Distrito Federal,3 Fires,1/1/2009
1627,2010,Outubro,Distrito Federal,6 Fires,1/1/2010
1628,2011,Outubro,Distrito Federal,0 Fires,1/1/2011
1629,2012,Outubro,Distrito Federal,15 Fires,1/1/2012
1630,2013,Outubro,Distrito Federal,3 Fires,1/1/2013
1631,2014,Outubro,Distrito Federal,34 Fires,1/1/2014
1632,2015,Outubro,Distrito Federal,21 Fires,1/1/2015
1633,2016,Outubro,Distrito Federal,9 Fires,1/1/2016
1634,2017,Outubro,Distrito Federal,66 Fires,1/1/2017
1635,1998,Novembro,Distrito Federal,0 Fires,1/1/1998
1636,1999,Novembro,Distrito Federal,1 Fires,1/1/1999
1637,2000,Novembro,Distrito Federal,0 Fires,1/1/2000
1638,2001,Novembro,Distrito Federal,0 Fires,1/1/2001
1639,2002,Novembro,Distrito Federal,1 Fires,1/1/2002
1640,2003,Novembro,Distrito Federal,0 Fires,1/1/2003
1641,2004,Novembro,Distrito Federal,0 Fires,1/1/2004
1642,2005,Novembro,Distrito Federal,2 Fires,1/1/2005
1643,2006,Novembro,Distrito Federal,0 Fires,1/1/2006
1644,2007,Novembro,Distrito Federal,0 Fires,1/1/2007
1645,2008,Novembro,Distrito Federal,4 Fires,1/1/2008
1646,2009,Novembro,Distrito Federal,,1/1/2009
1647,2010,Novembro,Distrito Federal,0 Fires,1/1/2010
1648,2011,Novembro,Distrito Federal,1 Fires,1/1/2011
1649,2012,Novembro,Distrito Federal,0 Fires,1/1/2012
1650,2013,Novembro,Distrito Federal,0 Fires,1/1/2013
1651,2014,Novembro,Distrito Federal,0 Fires,1/1/2014
1652,2015,Novembro,Distrito Federal,3 Fires,1/1/2015
1653,2016,Novembro,Distrito Federal,1 Fires,1/1/2016
1654,2017,Novembro,Distrito Federal,0 Fires,1/1/2017
1655,1998,Dezembro,Distrito Federal,0 Fires,1/1/1998
1656,1999,Dezembro,Distrito Federal,0 Fires,1/1/1999
1657,2000,Dezembro,Distrito Federal,0 Fires,1/1/2000
1658,2001,Dezembro,Distrito Federal,1 Fires,1/1/2001
1659,2002,Dezembro,Distrito Federal,1 Fires,1/1/2002
1660,2003,Dezembro,Distrito Federal,0 Fires,1/1/2003
1661,2004,Dezembro,Distrito Federal,0 Fires,1/1/2004
1662,2005,Dezembro,Distrito Federal,0 Fires,1/1/2005
1663,2006,Dezembro,Distrito Federal,0 Fires,1/1/2006
1664,2007,Dezembro,Distrito Federal,0 Fires,1/1/2007
1665,2008,Dezembro,Distrito Federal,0 Fires,1/1/2008
1666,2009,Dezembro,Distrito Federal,0 Fires,1/1/2009
1667,2010,Dezembro,Distrito Federal,1 Fires,1/1/2010
1668,2011,Dezembro,Distrito Federal,0 Fires,1/1/2011
1669,2012,Dezembro,Distrito Federal,0 Fires,1/1/2012
1670,2013,Dezembro,Distrito Federal,2 Fires,1/1/2013
1671,2014,Dezembro,Distrito Federal,0 Fires,1/1/2014
1672,2015,Dezembro,Distrito Federal,0 Fires,1/1/2015
1673,2016,Dezembro,Distrito Federal,0 Fires,1/1/2016
1674,1998,Janeiro,Espirito Santo,0 Fires,1/1/1998
1675,1999,Janeiro,Espirito Santo,36 Fires,1/1/1999
1676,2000,Janeiro,Espirito Santo,24 Fires,1/1/2000
1677,2001,Janeiro,Espirito Santo,18 Fires,1/1/2001
1678,2002,Janeiro,Espirito Santo,29 Fires,1/1/2002
1679,2003,Janeiro,Espirito Santo,,1/1/2003
1680,2004,Janeiro,Espirito Santo,22 Fires,1/1/2004
1681,2005,Janeiro,Espirito Santo,28 Fires,1/1/2005
1682,2006,Janeiro,Espirito Santo,109 Fires,1/1/2006
1683,2007,Janeiro,Espirito Santo,91 Fires,1/1/2007
1684,2008,Janeiro,Espirito Santo,85 Fires,1/1/2008
1685,2009,Janeiro,Espirito Santo,74 Fires,1/1/2009
1686,2010,Janeiro,Espirito Santo,118 Fires,1/1/2010
1687,2011,Janeiro,Espirito Santo,61 Fires,1/1/2011
1688,2012,Janeiro,Espirito Santo,75 Fires,1/1/2012
1689,2013,Janeiro,Espirito Santo,75 Fires,1/1/2013
1690,2014,Janeiro,Espirito Santo,133 Fires,1/1/2014
1691,2015,Janeiro,Espirito Santo,147 Fires,1/1/2015
1692,2016,Janeiro,Espirito Santo,61 Fires,1/1/2016
1693,2017,Janeiro,Espirito Santo,,1/1/2017
1694,1998,Fevereiro,Espirito Santo,0 Fires,1/1/1998
1695,1999,Fevereiro,Espirito Santo,112 Fires,1/1/1999
1696,2000,Fevereiro,Espirito Santo,20 Fires,1/1/2000
1697,2001,Fevereiro,Espirito Santo,39 Fires,1/1/2001
1698,2002,Fevereiro,Espirito Santo,62 Fires,1/1/2002
1699,2003,Fevereiro,Espirito Santo,126 Fires,1/1/2003
1700,2004,Fevereiro,Espirito Santo,29 Fires,1/1/2004
1701,2005,Fevereiro,Espirito Santo,79 Fires,1/1/2005
1702,2006,Fevereiro,Espirito Santo,96 Fires,1/1/2006
1703,2007,Fevereiro,Espirito Santo,71 Fires,1/1/2007
1704,2008,Fevereiro,Espirito Santo,59 Fires,1/1/2008
1705,2009,Fevereiro,Espirito Santo,74 Fires,1/1/2009
1706,2010,Fevereiro,Espirito Santo,155 Fires,1/1/2010
1707,2011,Fevereiro,Espirito Santo,111 Fires,1/1/2011
1708,2012,Fevereiro,Espirito Santo,123 Fires,1/1/2012
1709,2013,Fevereiro,Espirito Santo,143 Fires,1/1/2013
1710,2014,Fevereiro,Espirito Santo,157 Fires,1/1/2014
1711,2015,Fevereiro,Espirito Santo,84 Fires,1/1/2015
1712,2016,Fevereiro,Espirito Santo,207 Fires,1/1/2016
1713,2017,Fevereiro,Espirito Santo,61 Fires,1/1/2017
1714,1998,Março,Espirito Santo,0 Fires,1/1/1998
1715,1999,Março,Espirito Santo,13 Fires,1/1/1999
1716,2000,Março,Espirito Santo,24 Fires,1/1/2000
1717,2001,Março,Espirito Santo,13 Fires,1/1/2001
1718,2002,Março,Espirito Santo,62 Fires,1/1/2002
1719,2003,Março,Espirito Santo,81 Fires,1/1/2003
1720,2004,Março,Espirito Santo,81 Fires,1/1/2004
1721,2005,Março,Espirito Santo,107 Fires,1/1/2005
1722,2006,Março,Espirito Santo,69 Fires,1/1/2006
1723,2007,Março,Espirito Santo,155 Fires,1/1/2007
1724,2008,Março,Espirito Santo,61 Fires,1/1/2008
1725,2009,Março,Espirito Santo,106 Fires,1/1/2009
1726,2010,Março,Espirito Santo,109 Fires,1/1/2010
1727,2011,Março,Espirito Santo,67 Fires,1/1/2011
1728,2012,Março,Espirito Santo,152 Fires,1/1/2012
1729,2013,Março,Espirito Santo,110 Fires,1/1/2013
1730,2014,Março,Espirito Santo,77 Fires,1/1/2014
1731,2015,Março,Espirito Santo,80 Fires,1/1/2015
1732,2016,Março,Espirito Santo,123 Fires,1/1/2016
1733,2017,Março,Espirito Santo,105 Fires,1/1/2017
1734,1998,Abril,Espirito Santo,0 Fires,1/1/1998
1735,1999,Abril,Espirito Santo,27 Fires,1/1/1999
1736,2000,Abril,Espirito Santo,49 Fires,1/1/2000
1737,2001,Abril,Espirito Santo,60 Fires,1/1/2001
1738,2002,Abril,Espirito Santo,99 Fires,1/1/2002
1739,2003,Abril,Espirito Santo,215 Fires,1/1/2003
1740,2004,Abril,Espirito Santo,48 Fires,1/1/2004
1741,2005,Abril,Espirito Santo,89 Fires,1/1/2005
1742,2006,Abril,Espirito Santo,50 Fires,1/1/2006
1743,2007,Abril,Espirito Santo,35 Fires,1/1/2007
1744,2008,Abril,Espirito Santo,113 Fires,1/1/2008
1745,2009,Abril,Espirito Santo,26 Fires,1/1/2009
1746,2010,Abril,Espirito Santo,112 Fires,1/1/2010
1747,2011,Abril,Espirito Santo,66 Fires,1/1/2011
1748,2012,Abril,Espirito Santo,180 Fires,1/1/2012
1749,2013,Abril,Espirito Santo,61 Fires,1/1/2013
1750,2014,Abril,Espirito Santo,161 Fires,1/1/2014
1751,2015,Abril,Espirito Santo,109 Fires,1/1/2015
1752,2016,Abril,Espirito Santo,172 Fires,1/1/2016
1753,2017,Abril,Espirito Santo,69 Fires,1/1/2017
1754,1998,Maio,Espirito Santo,0 Fires,1/1/1998
1755,1999,Maio,Espirito Santo,51 Fires,1/1/1999
1756,2000,Maio,Espirito Santo,67 Fires,1/1/2000
1757,2001,Maio,Espirito Santo,83 Fires,1/1/2001
1758,2002,Maio,Espirito Santo,98 Fires,1/1/2002
1759,2003,Maio,Espirito Santo,75 Fires,1/1/2003
1760,2004,Maio,Espirito Santo,79 Fires,1/1/2004
1761,2005,Maio,Espirito Santo,134 Fires,1/1/2005
1762,2006,Maio,Espirito Santo,62 Fires,1/1/2006
1763,2007,Maio,Espirito Santo,124 Fires,1/1/2007
1764,2008,Maio,Espirito Santo,50 Fires,1/1/2008
1765,2009,Maio,Espirito Santo,128 Fires,1/1/2009
1766,2010,Maio,Espirito Santo,179 Fires,1/1/2010
1767,2011,Maio,Espirito Santo,151 Fires,1/1/2011
1768,2012,Maio,Espirito Santo,144 Fires,1/1/2012
1769,2013,Maio,Espirito Santo,150 Fires,1/1/2013
1770,2014,Maio,Espirito Santo,224 Fires,1/1/2014
1771,2015,Maio,Espirito Santo,114 Fires,1/1/2015
1772,2016,Maio,Espirito Santo,186 Fires,1/1/2016
1773,2017,Maio,Espirito Santo,,1/1/2017
1774,1998,Junho,Espirito Santo,70 Fires,1/1/1998
1775,1999,Junho,Espirito Santo,132 Fires,1/1/1999
1776,2000,Junho,Espirito Santo,135 Fires,1/1/2000
1777,2001,Junho,Espirito Santo,166 Fires,1/1/2001
1778,2002,Junho,Espirito Santo,207 Fires,1/1/2002
1779,2003,Junho,Espirito Santo,245 Fires,1/1/2003
1780,2004,Junho,Espirito Santo,209 Fires,1/1/2004
1781,2005,Junho,Espirito Santo,246 Fires,1/1/2005
